Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   L (H)   NetName
FCHIP_FCHIP  P12  5.625000e-01  -1.012500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  N12  5.625000e-01  -7.875000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  K12  5.625000e-01  -1.125000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  L12  5.625000e-01  -3.375000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  M12  5.625000e-01  -5.625000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  R12  5.625000e-01  -1.237500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  U15  1.237500e+00  -1.687500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  U17  1.687500e+00  -1.687500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  G10  1.125000e-01  5.625000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  H10  1.125000e-01  3.375000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  F10  1.125000e-01  7.875000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  J10  1.125000e-01  1.125000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  E10  1.125000e-01  1.012500e+00  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  D10  1.125000e-01  1.237500e+00  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  E11  3.375000e-01  1.012500e+00  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  C10  1.125000e-01  1.462500e+00  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  H11  3.375000e-01  3.375000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  D11  3.375000e-01  1.237500e+00  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  J11  3.375000e-01  1.125000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  G11  3.375000e-01  5.625000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  F11  3.375000e-01  7.875000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  H12  5.625000e-01  3.375000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  G12  5.625000e-01  5.625000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  C11  3.375000e-01  1.462500e+00  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  J12  5.625000e-01  1.125000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  F12  5.625000e-01  7.875000e-01  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  D12  5.625000e-01  1.237500e+00  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  C12  5.625000e-01  1.462500e+00  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  E12  5.625000e-01  1.012500e+00  7.328978e-03   1.145716e-10  VSS
FCHIP_FCHIP  B17  1.687500e+00  1.687500e+00  7.328978e-03   1.145716e-10  VSS
