32
0 RXDATA0+
1 RXDATA0-
2 RXDATA1+
3 RXDATA1-
4 RXDATA2+
5 RXDATA2-
6 RXDATA3+
7 RXDATA3-
8 RXDATA4+
9 RXDATA4-
10 RXDATA5+
11 RXDATA5-
12 RXDATA6+
13 RXDATA6-
14 RXDATA7+
15 RXDATA7-
16 TXDATA0+
17 TXDATA0-
18 TXDATA1+
19 TXDATA1-
20 TXDATA2+
21 TXDATA2-
22 TXDATA3+
23 TXDATA3-
24 TXDATA4+
25 TXDATA4-
26 TXDATA5+
27 TXDATA5-
28 TXDATA6+
29 TXDATA6-
30 TXDATA7+
31 TXDATA7-
