Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   Lloop(H)
IPD031-201_U2A5  AP33  3.542106e+01  2.881605e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AN27  3.593643e+01  3.131744e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AT7  3.484702e+01  3.952316e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AM32  3.636315e+01  2.933243e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AM4  3.636315e+01  4.102557e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AP23  3.559200e+01  3.276549e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AP18  3.559200e+01  3.469640e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AN13  3.593643e+01  3.710991e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AP2  3.542106e+01  4.154195e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AN9  3.593643e+01  3.904056e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AL6  3.683508e+01  4.022344e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AM1  3.646068e+01  4.211498e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AH11  3.796792e+01  3.822700e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AM7  3.647542e+01  3.974490e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AK29  3.718662e+01  3.061767e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AJ35  3.743884e+01  2.824302e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AG3  3.840404e+01  4.137000e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AK15  3.725672e+01  3.604260e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AL23  3.654552e+01  3.279140e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AH17  3.780536e+01  3.517900e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AF13  3.853180e+01  3.721100e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AF24  3.853180e+01  3.233420e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AD20  3.934460e+01  3.395980e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AD16  3.934460e+01  3.558540e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AD35  3.936949e+01  2.824302e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AD8  3.936949e+01  3.930244e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AD6  3.936949e+01  3.999179e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AE26  3.926942e+01  3.174467e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AF22  3.853180e+01  3.314700e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AG1  3.840404e+01  4.211498e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AF20  3.853180e+01  3.395980e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AD18  3.934460e+01  3.477260e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  V20  4.178300e+01  3.395980e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  V16  4.178300e+01  3.558540e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  V18  4.178300e+01  3.477260e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  V14  4.178300e+01  3.639820e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  T18  4.259580e+01  3.477260e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  Y18  4.097020e+01  3.477260e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  Y16  4.097020e+01  3.558540e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  AB20  4.015740e+01  3.395980e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  Y20  4.097020e+01  3.395980e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  AB18  4.015740e+01  3.477260e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  AB14  4.015740e+01  3.639820e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  Y14  4.097020e+01  3.639820e+01  0.000000e+00  2.417045e-09 V1P0_S0
IPD031-201_U2A5  AD14  3.934460e+01  3.639820e+01  0.000000e+00  2.417045e-09 V1P0_S0
