Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   L (H)   NetName
IPD031-201_U2A5  AD14  3.934460e+01  3.639820e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  Y20  4.097020e+01  3.395980e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  Y16  4.097020e+01  3.558540e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  Y14  4.097020e+01  3.639820e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  Y18  4.097020e+01  3.477260e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  T18  4.259580e+01  3.477260e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  V20  4.178300e+01  3.395980e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  V18  4.178300e+01  3.477260e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  V16  4.178300e+01  3.558540e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  V14  4.178300e+01  3.639820e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  AB14  4.015740e+01  3.639820e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  AB20  4.015740e+01  3.395980e+01  1.055922e-01   2.635031e-09  V1P0_S0
IPD031-201_U2A5  AB18  4.015740e+01  3.477260e+01  1.055922e-01   2.635031e-09  V1P0_S0
602433-081_C2B2  1  4.752340e+01  1.668780e+01  6.038025e-02   1.929455e-09  V1P0_S0
602433-081_C3B10  1  5.570220e+01  2.138680e+01  7.784559e-02   7.360434e-10  V1P0_S0
A36096-108_C3L22  1  4.069080e+01  3.477260e+01  1.073485e-01   2.813824e-09  V1P0_S0
C83410-012_C3L15  1  4.149090e+01  3.657600e+01  1.014234e-01   2.341941e-09  V1P0_S0
C83410-012_C3L17  1  4.023360e+01  3.597910e+01  1.134044e-01   2.631538e-09  V1P0_S0
C83410-012_C3L18  1  4.183380e+01  3.534410e+01  1.145014e-01   2.713112e-09  V1P0_S0
C83410-012_C3L20  1  4.135120e+01  3.534410e+01  1.144377e-01   2.683750e-09  V1P0_S0
C83410-012_C3L24  1  4.262120e+01  3.437890e+01  1.123453e-01   2.648260e-09  V1P0_S0
C83410-012_C3L26  1  4.026980e+01  3.407220e+01  1.119565e-01   2.619417e-09  V1P0_S0
C83410-012_C3L28  1  4.168330e+01  3.325939e+01  1.128970e-01   2.687460e-09  V1P0_S0
C83410-012_C3L29  1  4.103180e+01  3.325939e+01  1.131802e-01   2.670943e-09  V1P0_S0
C97875-001_C3B11  1  6.535420e+01  2.319020e+01  1.088782e-01   2.653143e-09  V1P0_S0
C97875-001_C3B9  1  6.342380e+01  2.319020e+01  1.096516e-01   2.675178e-09  V1P0_S0
E16347-001_C2B12  1  4.747260e+01  1.813560e+01  7.184314e-02   1.352687e-09  V1P0_S0
E16347-001_C3B17  1  5.214620e+01  2.631440e+01  7.313946e-02   1.325141e-09  V1P0_S0
